id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10TblVMwaw6XRWZgDt7vQA,This is America,Childish gambino,0.85,0.451,5,-6.554,1,0.134,0.128,0,0.353,0.539,119.979,226787,4
   5gW5dSy3vXJxgzma4rQuzH,Make me feel ,Janelle Monae,0.859,0.413,1,-7.399,1,0.182,0.132,0,0.334,0.697,115.035,194230,4
2qT1uLXPVPzGgFOx4jtEuo, No tears left to cry,Ariana grande,0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,205920,4
   2eJXifVze1xBmImILeumeZ,Honey,Robyn,0.649,0.607,11,-8.756,0,0.1,0.0206,0.000598,0.13,0.064,115.93,293152,4
6PpbRUIbMyUbJkWHS3eQ8j,Girlfriend,Christine and The Queens Feat. Dam Funk  ,0.825,0.583,0,-6.581,0,0.0389,0.0353,0.000451,0.109,0.794,110.012,201073,4
            2rPE9A1vEgShuZxxzR2tZH,"Thank you,Next",Ariana grande,0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
             1MAhhW31aMIknkD19pZmrP,Hot Pink,Lets Eat Grandma,0.725,0.552,8,-6.897,1,0.0783,0.2,0,0.093,0.183,103.016,248977,4
             11u6Qkl4ri0fMWZIQDmFUJ,Missing You,Robyn,0.702,0.666,5,-8.307,0,0.0463,0.0472,0.000119,0.139,0.109,119.93,297268,4
58q2HKrzhC3ozto2nDdN4z,I like it,"Cardi B,Bad Bunny,J Balvin",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
7MRY4VpCuZvBmFda6ZCk2G,Love It if we made it,The 1975,0.479,0.727,4,-5.369,1,0.0357,0.000718,0.0000197,0.0644,0.0577,180.09,253249,4
6GRos6Klc30XItsQtGUcak,it makes you forget(itgehane),Peggy gou,0.797,0.922,0,-9.686,1,0.0474,0.015,0.578,0.0606,0.583,125.001,395416,4
1E84UmsefPBdAZmUS4qrYv,Doesn't matter(voleur de soleil),Christine and The Queens,0.78,0.575,8,-6.429,1,0.0443,0.0193,0.000597,0.0429,0.934,136.939,263947,4
            6eVWOyIA4iacH7UaQ1TqzM,Homerton B,Unknown T,0.739,0.772,7,-6.367,1,0.0731,0.231,0.0548,0.0721,0.28,142.472,192000,4
            1YHT1FZv5t3ZFLsVPuy6Rq,My My My !,Troy Sivan,0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,204727,4
            0j77ikAaghcss4idQVcAXT,Boys,Lizzo,0.892,0.588,1,-4.287,0,0.11,0.00319,0.000162,0.0498,0.753,120.042,172630,4
0sT4nyNxsvGNQr1O8OR83O,Pick Up,DJ Koze,0.712,0.601,5,-8.968,1,0.062,0.0000109,0.802,0.0982,0.513,124.912,398151,4
1B0BQaSRHxhI0AUlItY3LK,MALAMENTE- Cap1Augurio,ROSALIA,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,150027,4
2U2Z1IXnmJIvlknWizFykZ,High Horse,Kacey Musgraves,0.725,0.674,11,-5.254,0,0.0363,0.0325,0.00000355,0.0531,0.773,120.057,213693,4
2G7V7zsVDxg1yRsu7Ew9RJ,In My feelings,Drake,0.835,0.626,1,-5.833,1,0.125,0.0589,0.00006,0.396,0.35,91.03,217925,4
4oGdO6bAblqvWDBJ98VmVF,Mainland,Rolling Blackouts Coastal fever,0.26,0.891,1,-5.418,1,0.0466,0.00113,0.168,0.0534,0.535,83.993,254832,4
62GXGpd73vslqIBHq8XqOx,APESHIT,The Carters,0.706,0.785,2,-6.475,1,0.271,0.0131,0,0.164,0.377,160.033,264853,4
